https://www.bikotbi.org/ontology/BIKO_000182,https://www.bikotbi.org/ontology/BIKO_000059,https://www.bikotbi.org/ontology/BIKO_000171,https://www.bikotbi.org/ontology/BIKO_000178,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000086,https://www.bikotbi.org/ontology/BIKO_000062,https://www.bikotbi.org/ontology/BIKO_000063,https://www.bikotbi.org/ontology/BIKO_000157,https://www.bikotbi.org/ontology/BIKO_000184,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000181,https://www.bikotbi.org/ontology/BIKO_000028
,,https://doi.org/110.1097/SHK.0000000000001056,PMID:29140832,"Martin GE, Xia B, Kim Y, Johnson MD, Veile R, Friend LA, Makley AT, Caldwell CC, Goodman MD. Platelet Function Changes in a Time-Dependent Manner Following Traumatic Brain Injury in a Murine ModelShock. 2018 Nov;50(5):551-556. doi: 10.1097\/SHK.0000000000001056.","Martin GE, Xia B, Kim Y, Johnson MD, Veile R, Friend LA, Makley AT, Caldwell CC, Goodman MD. Platelet Function Changes in a Time-Dependent Manner Following Traumatic Brain Injury in a Murine ModelShock. 2018 Nov;50(5):551-556. doi: 10.1097\/SHK.0000000000001056.",male,male,mouse,C57BL,C57BL6/J,,127,"Martin GE, Xia B, Kim Y, Johnson MD, Veile R, Friend LA, Makley AT, Caldwell CC, Goodman MD. Platelet Function Changes in a Time-Dependent Manner Following Traumatic Brain Injury in a Murine ModelShock. 2018 Nov;50(5):551-556. doi: 10.1097\/SHK.0000000000001056.","Martin GE, Xia B, Kim Y, Johnson MD, Veile R, Friend LA, Makley AT, Caldwell CC, Goodman MD. Platelet Function Changes in a Time-Dependent Manner Following Traumatic Brain Injury in a Murine ModelShock. 2018 Nov;50(5):551-556. doi: 10.1097\/SHK.0000000000001056.",male,male,weight-drop device,Weight-drop model
,28 - 35 g,https://doi.org/10.1152/jn.00049.2022,PMID:35443136,"Chen Y, Lu Y, Xu S, Liu M, Chen W, Zhang Y, Wei L, Zhong C. HDAC1 expression is positively correlated with NADPH oxidase 4-mediated oxidative stress in a mouse model of traumatic brain injuryJ Neurophysiol. 2022 May 1;127(5):1438-1444. doi: 10.1152\/jn.00049.2022. Epub 2022 Apr 20.","Chen Y, Lu Y, Xu S, Liu M, Chen W, Zhang Y, Wei L, Zhong C. HDAC1 expression is positively correlated with NADPH oxidase 4-mediated oxidative stress in a mouse model of traumatic brain injuryJ Neurophysiol. 2022 May 1;127(5):1438-1444. doi: 10.1152\/jn.00049.2022. Epub 2022 Apr 20.",male,male,mouse,C57BL,C57BL/6J,,128,"Chen Y, Lu Y, Xu S, Liu M, Chen W, Zhang Y, Wei L, Zhong C. HDAC1 expression is positively correlated with NADPH oxidase 4-mediated oxidative stress in a mouse model of traumatic brain injuryJ Neurophysiol. 2022 May 1;127(5):1438-1444. doi: 10.1152\/jn.00049.2022. Epub 2022 Apr 20.","Chen Y, Lu Y, Xu S, Liu M, Chen W, Zhang Y, Wei L, Zhong C. HDAC1 expression is positively correlated with NADPH oxidase 4-mediated oxidative stress in a mouse model of traumatic brain injuryJ Neurophysiol. 2022 May 1;127(5):1438-1444. doi: 10.1152\/jn.00049.2022. Epub 2022 Apr 20.",male,male,lateral fluid percussion,Fluid percussion injury model
,,https://doi.org/10.1371/journal.pone.0074510,PMID:24058581,"Klemenhagen KC, O'Brien SP, Brody DL. Repetitive concussive traumatic brain injury interacts with post-injury foot shock stress to worsen social and depression-like behavior in micePLoS One. 2013 Sep 18;8(9):e74510. doi: 10.1371\/journal.pone.0074510. eCollection 2013. PMC3776826","Klemenhagen KC, O'Brien SP, Brody DL. Repetitive concussive traumatic brain injury interacts with post-injury foot shock stress to worsen social and depression-like behavior in micePLoS One. 2013 Sep 18;8(9):e74510. doi: 10.1371\/journal.pone.0074510. eCollection 2013. PMC3776826",male,male,mouse,C57BL,C57BL/6J,,132,"Klemenhagen KC, O'Brien SP, Brody DL. Repetitive concussive traumatic brain injury interacts with post-injury foot shock stress to worsen social and depression-like behavior in micePLoS One. 2013 Sep 18;8(9):e74510. doi: 10.1371\/journal.pone.0074510. eCollection 2013. PMC3776826","Klemenhagen KC, O'Brien SP, Brody DL. Repetitive concussive traumatic brain injury interacts with post-injury foot shock stress to worsen social and depression-like behavior in micePLoS One. 2013 Sep 18;8(9):e74510. doi: 10.1371\/journal.pone.0074510. eCollection 2013. PMC3776826",male,male,electromagnetic stereotaxic impact device,Other
,28 - 37 g,https://doi.org/10.1371/journal.pone.0128782,PMID:26039099,"Lopez-Rodriguez AB, Acaz-Fonseca E, Viveros MP, Garcia-Segura LM. Changes in cannabinoid receptors, aquaporin 4 and vimentin expression after traumatic brain injury in adolescent male mice. Association with edema and neurological deficitPLoS One. 2015 Jun 3;10(6):e0128782. doi: 10.1371\/journal.pone.0128782. eCollection 2015. PMC4454518","Lopez-Rodriguez AB, Acaz-Fonseca E, Viveros MP, Garcia-Segura LM. Changes in cannabinoid receptors, aquaporin 4 and vimentin expression after traumatic brain injury in adolescent male mice. Association with edema and neurological deficitPLoS One. 2015 Jun 3;10(6):e0128782. doi: 10.1371\/journal.pone.0128782. eCollection 2015. PMC4454518",male,male,mouse,Swiss,Swiss,,133,"Lopez-Rodriguez AB, Acaz-Fonseca E, Viveros MP, Garcia-Segura LM. Changes in cannabinoid receptors, aquaporin 4 and vimentin expression after traumatic brain injury in adolescent male mice. Association with edema and neurological deficitPLoS One. 2015 Jun 3;10(6):e0128782. doi: 10.1371\/journal.pone.0128782. eCollection 2015. PMC4454518","Lopez-Rodriguez AB, Acaz-Fonseca E, Viveros MP, Garcia-Segura LM. Changes in cannabinoid receptors, aquaporin 4 and vimentin expression after traumatic brain injury in adolescent male mice. Association with edema and neurological deficitPLoS One. 2015 Jun 3;10(6):e0128782. doi: 10.1371\/journal.pone.0128782. eCollection 2015. PMC4454518",male,male,weight-drop device,Weight-drop model
Adult,200 - 250 g,https://doi.org/10.1371/journal.pone.0133215,PMID:26186619,"Lang Y, Fu F, Sun D, Xi C, Chen F. Labetalol Prevents Intestinal Dysfunction Induced by Traumatic Brain InjuryPLoS One. 2015 Jul 17;10(7):e0133215. doi: 10.1371\/journal.pone.0133215. eCollection 2015. PMC4505891","Lang Y, Fu F, Sun D, Xi C, Chen F. Labetalol Prevents Intestinal Dysfunction Induced by Traumatic Brain InjuryPLoS One. 2015 Jul 17;10(7):e0133215. doi: 10.1371\/journal.pone.0133215. eCollection 2015. PMC4505891",male,male,rat,Wister,Wister,,134,"Lang Y, Fu F, Sun D, Xi C, Chen F. Labetalol Prevents Intestinal Dysfunction Induced by Traumatic Brain InjuryPLoS One. 2015 Jul 17;10(7):e0133215. doi: 10.1371\/journal.pone.0133215. eCollection 2015. PMC4505891","Lang Y, Fu F, Sun D, Xi C, Chen F. Labetalol Prevents Intestinal Dysfunction Induced by Traumatic Brain InjuryPLoS One. 2015 Jul 17;10(7):e0133215. doi: 10.1371\/journal.pone.0133215. eCollection 2015. PMC4505891",male,male,weight-drop device,Weight-drop model
,28 - 32 g,https://doi.org/10.1371/journal.pone.0164237,PMID:27780244,"Li X, Wang H, Gao Y, Li L, Tang C, Wen G, Zhou Y, Zhou M, Mao L, Fan Y. Protective Effects of Quercetin on Mitochondrial Biogenesis in Experimental Traumatic Brain Injury via the Nrf2 Signaling PathwayPLoS One. 2016 Oct 25;11(10):e0164237. doi: 10.1371\/journal.pone.0164237. eCollection 2016. PMC5079551","Li X, Wang H, Gao Y, Li L, Tang C, Wen G, Zhou Y, Zhou M, Mao L, Fan Y. Protective Effects of Quercetin on Mitochondrial Biogenesis in Experimental Traumatic Brain Injury via the Nrf2 Signaling PathwayPLoS One. 2016 Oct 25;11(10):e0164237. doi: 10.1371\/journal.pone.0164237. eCollection 2016. PMC5079551",male,male,mouse,ICR,ICR,,135,"Li X, Wang H, Gao Y, Li L, Tang C, Wen G, Zhou Y, Zhou M, Mao L, Fan Y. Protective Effects of Quercetin on Mitochondrial Biogenesis in Experimental Traumatic Brain Injury via the Nrf2 Signaling PathwayPLoS One. 2016 Oct 25;11(10):e0164237. doi: 10.1371\/journal.pone.0164237. eCollection 2016. PMC5079551","Li X, Wang H, Gao Y, Li L, Tang C, Wen G, Zhou Y, Zhou M, Mao L, Fan Y. Protective Effects of Quercetin on Mitochondrial Biogenesis in Experimental Traumatic Brain Injury via the Nrf2 Signaling PathwayPLoS One. 2016 Oct 25;11(10):e0164237. doi: 10.1371\/journal.pone.0164237. eCollection 2016. PMC5079551",male,male,weight-drop device,Weight-drop model
,"364 g, 425 g",https://doi.org/10.1371/journal.pone.0178186,PMID:28552947,"Hsieh TH, Kang JW, Lai JH, Huang YZ, Rotenberg A, Chen KY, Wang JY, Chan SY, Chen SC, Chiang YH, Peng CW. Relationship of mechanical impact magnitude to neurologic dysfunction severity in a rat traumatic brain injury modelPLoS One. 2017 May 26;12(5):e0178186. doi: 10.1371\/journal.pone.0178186. eCollection 2017. PMC5446124","Hsieh TH, Kang JW, Lai JH, Huang YZ, Rotenberg A, Chen KY, Wang JY, Chan SY, Chen SC, Chiang YH, Peng CW. Relationship of mechanical impact magnitude to neurologic dysfunction severity in a rat traumatic brain injury modelPLoS One. 2017 May 26;12(5):e0178186. doi: 10.1371\/journal.pone.0178186. eCollection 2017. PMC5446124",male,male,rat,Sprague-Dawley,Sprague-Dawley,,136,"Hsieh TH, Kang JW, Lai JH, Huang YZ, Rotenberg A, Chen KY, Wang JY, Chan SY, Chen SC, Chiang YH, Peng CW. Relationship of mechanical impact magnitude to neurologic dysfunction severity in a rat traumatic brain injury modelPLoS One. 2017 May 26;12(5):e0178186. doi: 10.1371\/journal.pone.0178186. eCollection 2017. PMC5446124","Hsieh TH, Kang JW, Lai JH, Huang YZ, Rotenberg A, Chen KY, Wang JY, Chan SY, Chen SC, Chiang YH, Peng CW. Relationship of mechanical impact magnitude to neurologic dysfunction severity in a rat traumatic brain injury modelPLoS One. 2017 May 26;12(5):e0178186. doi: 10.1371\/journal.pone.0178186. eCollection 2017. PMC5446124",male,male,weight-drop device,Weight-drop model
Adult,,https://doi.org/10.1371/journal.pone.0197346,PMID:29746557,"Evanson NK, Guilhaume-Correa F, Herman JP, Goodman MD. Optic tract injury after closed head traumatic brain injury in mice: A model of indirect traumatic optic neuropathyPLoS One. 2018 May 10;13(5):e0197346. doi: 10.1371\/journal.pone.0197346. eCollection 2018. PMC5944994","Evanson NK, Guilhaume-Correa F, Herman JP, Goodman MD. Optic tract injury after closed head traumatic brain injury in mice: A model of indirect traumatic optic neuropathyPLoS One. 2018 May 10;13(5):e0197346. doi: 10.1371\/journal.pone.0197346. eCollection 2018. PMC5944994",male,male,mouse,C57BL,C57BL/6J,,137,"Evanson NK, Guilhaume-Correa F, Herman JP, Goodman MD. Optic tract injury after closed head traumatic brain injury in mice: A model of indirect traumatic optic neuropathyPLoS One. 2018 May 10;13(5):e0197346. doi: 10.1371\/journal.pone.0197346. eCollection 2018. PMC5944994","Evanson NK, Guilhaume-Correa F, Herman JP, Goodman MD. Optic tract injury after closed head traumatic brain injury in mice: A model of indirect traumatic optic neuropathyPLoS One. 2018 May 10;13(5):e0197346. doi: 10.1371\/journal.pone.0197346. eCollection 2018. PMC5944994",male,male,weight-drop device,Weight-drop model
,,https://doi.org/10.1038%2Fjcbfm.2014.6,PMID:24473478,"Donovan V, Kim C, Anugerah AK, Coats JS, Oyoyo U, Pardo AC, Obenaus A. Repeated mild traumatic brain injury results in long-term white-matter disruptionJ Cereb Blood Flow Metab. 2014 Apr;34(4):715-23. doi: 10.1038\/jcbfm.2014.6. Epub 2014 Jan 29. PMC3982100","Donovan V, Kim C, Anugerah AK, Coats JS, Oyoyo U, Pardo AC, Obenaus A. Repeated mild traumatic brain injury results in long-term white-matter disruptionJ Cereb Blood Flow Metab. 2014 Apr;34(4):715-23. doi: 10.1038\/jcbfm.2014.6. Epub 2014 Jan 29. PMC3982100",male,male,rat,Sprague-Dawley,Sprague-Dawley,,138,"Donovan V, Kim C, Anugerah AK, Coats JS, Oyoyo U, Pardo AC, Obenaus A. Repeated mild traumatic brain injury results in long-term white-matter disruptionJ Cereb Blood Flow Metab. 2014 Apr;34(4):715-23. doi: 10.1038\/jcbfm.2014.6. Epub 2014 Jan 29. PMC3982100","Donovan V, Kim C, Anugerah AK, Coats JS, Oyoyo U, Pardo AC, Obenaus A. Repeated mild traumatic brain injury results in long-term white-matter disruptionJ Cereb Blood Flow Metab. 2014 Apr;34(4):715-23. doi: 10.1038\/jcbfm.2014.6. Epub 2014 Jan 29. PMC3982100",male,male,electromagnically controlled cortical impact device,Controlled cortical impact model
,,https://doi.org/10.1038/jcbfm.2015.56,PMID:25853909,"Shultz SR, Sun M, Wright DK, Brady RD, Liu S, Beynon S, Schmidt SF, Kaye AH, Hamilton JA, O'Brien TJ, Grills BL, McDonald SJ. Tibial fracture exacerbates traumatic brain injury outcomes and neuroinflammation in a novel mouse model of multitraumaJ Cereb Blood Flow Metab. 2015 Aug;35(8):1339-47. doi: 10.1038\/jcbfm.2015.56. Epub 2015 Apr 8. PMC4528010","Shultz SR, Sun M, Wright DK, Brady RD, Liu S, Beynon S, Schmidt SF, Kaye AH, Hamilton JA, O'Brien TJ, Grills BL, McDonald SJ. Tibial fracture exacerbates traumatic brain injury outcomes and neuroinflammation in a novel mouse model of multitraumaJ Cereb Blood Flow Metab. 2015 Aug;35(8):1339-47. doi: 10.1038\/jcbfm.2015.56. Epub 2015 Apr 8. PMC4528010",male,male,mouse,C57BL,C57Bl/6,,139,"Shultz SR, Sun M, Wright DK, Brady RD, Liu S, Beynon S, Schmidt SF, Kaye AH, Hamilton JA, O'Brien TJ, Grills BL, McDonald SJ. Tibial fracture exacerbates traumatic brain injury outcomes and neuroinflammation in a novel mouse model of multitraumaJ Cereb Blood Flow Metab. 2015 Aug;35(8):1339-47. doi: 10.1038\/jcbfm.2015.56. Epub 2015 Apr 8. PMC4528010","Shultz SR, Sun M, Wright DK, Brady RD, Liu S, Beynon S, Schmidt SF, Kaye AH, Hamilton JA, O'Brien TJ, Grills BL, McDonald SJ. Tibial fracture exacerbates traumatic brain injury outcomes and neuroinflammation in a novel mouse model of multitraumaJ Cereb Blood Flow Metab. 2015 Aug;35(8):1339-47. doi: 10.1038\/jcbfm.2015.56. Epub 2015 Apr 8. PMC4528010",male,male,weight-drop device,Weight-drop model
,,https://doi.org/10.1038%2Fjcbfm.2015.87,PMID:25966949,"Dong T, Zhang Q, Hamblin MR, Wu MX. Low-level light in combination with metabolic modulators for effective therapy of injured brainJ Cereb Blood Flow Metab. 2015 Sep;35(9):1435-44. doi: 10.1038\/jcbfm.2015.87. Epub 2015 May 13. PMC4640344","Dong T, Zhang Q, Hamblin MR, Wu MX. Low-level light in combination with metabolic modulators for effective therapy of injured brainJ Cereb Blood Flow Metab. 2015 Sep;35(9):1435-44. doi: 10.1038\/jcbfm.2015.87. Epub 2015 May 13. PMC4640344",No sex reported,No sex reported,mouse,C57BL,C57BL/6,AMS 201,140,"Dong T, Zhang Q, Hamblin MR, Wu MX. Low-level light in combination with metabolic modulators for effective therapy of injured brainJ Cereb Blood Flow Metab. 2015 Sep;35(9):1435-44. doi: 10.1038\/jcbfm.2015.87. Epub 2015 May 13. PMC4640344","Dong T, Zhang Q, Hamblin MR, Wu MX. Low-level light in combination with metabolic modulators for effective therapy of injured brainJ Cereb Blood Flow Metab. 2015 Sep;35(9):1435-44. doi: 10.1038\/jcbfm.2015.87. Epub 2015 May 13. PMC4640344",No sex reported,No sex reported,fluid percussion MCV style,Controlled cortical impact model
Adult,300 - 325 g,https://doi.org/10.1177/0271678X17690165,PMID:28128026,"Zhang H, Wang W, Jiang S, Zhang Y, Heo HY, Wang X, Peng Y, Wang J, Zhou J. Amide proton transfer-weighted MRI detection of traumatic brain injury in ratsJ Cereb Blood Flow Metab. 2017 Oct;37(10):3422-3432. doi: 10.1177\/0271678X17690165. Epub 2017 Jan 27. PMC5624391","Zhang H, Wang W, Jiang S, Zhang Y, Heo HY, Wang X, Peng Y, Wang J, Zhou J. Amide proton transfer-weighted MRI detection of traumatic brain injury in ratsJ Cereb Blood Flow Metab. 2017 Oct;37(10):3422-3432. doi: 10.1177\/0271678X17690165. Epub 2017 Jan 27. PMC5624391",male,male,rat,Sprague-Dawley,Sprague-Dawley,TBI-0310 Impactor,141,"Zhang H, Wang W, Jiang S, Zhang Y, Heo HY, Wang X, Peng Y, Wang J, Zhou J. Amide proton transfer-weighted MRI detection of traumatic brain injury in ratsJ Cereb Blood Flow Metab. 2017 Oct;37(10):3422-3432. doi: 10.1177\/0271678X17690165. Epub 2017 Jan 27. PMC5624391","Zhang H, Wang W, Jiang S, Zhang Y, Heo HY, Wang X, Peng Y, Wang J, Zhou J. Amide proton transfer-weighted MRI detection of traumatic brain injury in ratsJ Cereb Blood Flow Metab. 2017 Oct;37(10):3422-3432. doi: 10.1177\/0271678X17690165. Epub 2017 Jan 27. PMC5624391",male,male,electromagnetically controlled cortical impact,Controlled cortical impact model
,,https://doi.org/10.1177/1759091418781921,PMID:29932344,"Gold EM, Vasilevko V, Hasselmann J, Tiefenthaler C, Hoa D, Ranawaka K, Cribbs DH, Cummings BJ. Repeated Mild Closed Head Injuries Induce Long-Term White Matter Pathology and Neuronal Loss That Are Correlated With Behavioral DeficitsASN Neuro. 2018 Jan-Dec;10:1759091418781921. doi: 10.1177\/1759091418781921. PMC6050992","Gold EM, Vasilevko V, Hasselmann J, Tiefenthaler C, Hoa D, Ranawaka K, Cribbs DH, Cummings BJ. Repeated Mild Closed Head Injuries Induce Long-Term White Matter Pathology and Neuronal Loss That Are Correlated With Behavioral DeficitsASN Neuro. 2018 Jan-Dec;10:1759091418781921. doi: 10.1177\/1759091418781921. PMC6050992","male, female","male, female",mouse,C57BL,C57BL/6J,TBI-0310 Head Impactor,143,"Gold EM, Vasilevko V, Hasselmann J, Tiefenthaler C, Hoa D, Ranawaka K, Cribbs DH, Cummings BJ. Repeated Mild Closed Head Injuries Induce Long-Term White Matter Pathology and Neuronal Loss That Are Correlated With Behavioral DeficitsASN Neuro. 2018 Jan-Dec;10:1759091418781921. doi: 10.1177\/1759091418781921. PMC6050992","Gold EM, Vasilevko V, Hasselmann J, Tiefenthaler C, Hoa D, Ranawaka K, Cribbs DH, Cummings BJ. Repeated Mild Closed Head Injuries Induce Long-Term White Matter Pathology and Neuronal Loss That Are Correlated With Behavioral DeficitsASN Neuro. 2018 Jan-Dec;10:1759091418781921. doi: 10.1177\/1759091418781921. PMC6050992","male, female","male, female",electromagnetically controlled cortical impact,Controlled cortical impact model
,,https://doi.org/10.1177/1759091418781921,PMID:29932344,"Gold EM, Vasilevko V, Hasselmann J, Tiefenthaler C, Hoa D, Ranawaka K, Cribbs DH, Cummings BJ. Repeated Mild Closed Head Injuries Induce Long-Term White Matter Pathology and Neuronal Loss That Are Correlated With Behavioral DeficitsASN Neuro. 2018 Jan-Dec;10:1759091418781921. doi: 10.1177\/1759091418781921. PMC6050992","Gold EM, Vasilevko V, Hasselmann J, Tiefenthaler C, Hoa D, Ranawaka K, Cribbs DH, Cummings BJ. Repeated Mild Closed Head Injuries Induce Long-Term White Matter Pathology and Neuronal Loss That Are Correlated With Behavioral DeficitsASN Neuro. 2018 Jan-Dec;10:1759091418781921. doi: 10.1177\/1759091418781921. PMC6050992","male, female","male, female",mouse,C57BL,C57BL/6J,TBI-0310 Head Impactor,507,"Gold EM, Vasilevko V, Hasselmann J, Tiefenthaler C, Hoa D, Ranawaka K, Cribbs DH, Cummings BJ. Repeated Mild Closed Head Injuries Induce Long-Term White Matter Pathology and Neuronal Loss That Are Correlated With Behavioral DeficitsASN Neuro. 2018 Jan-Dec;10:1759091418781921. doi: 10.1177\/1759091418781921. PMC6050992","Gold EM, Vasilevko V, Hasselmann J, Tiefenthaler C, Hoa D, Ranawaka K, Cribbs DH, Cummings BJ. Repeated Mild Closed Head Injuries Induce Long-Term White Matter Pathology and Neuronal Loss That Are Correlated With Behavioral DeficitsASN Neuro. 2018 Jan-Dec;10:1759091418781921. doi: 10.1177\/1759091418781921. PMC6050992","male, female","male, female",electromagnetically controlled cortical impact,Weight-drop model
,250 - 300 g,https://doi.org/10.1177/1545968320948065,PMID:32772884,"Tang Y, Dong X, Chen G, Ye W, Kang J, Tang Y, Feng Z. Vagus Nerve Stimulation Attenuates Early Traumatic Brain Injury by Regulating the NF-κB\/NLRP3 Signaling PathwayNeurorehabil Neural Repair. 2020 Sep;34(9):831-843. doi: 10.1177\/1545968320948065. Epub 2020 Aug 10.","Tang Y, Dong X, Chen G, Ye W, Kang J, Tang Y, Feng Z. Vagus Nerve Stimulation Attenuates Early Traumatic Brain Injury by Regulating the NF-κB\/NLRP3 Signaling PathwayNeurorehabil Neural Repair. 2020 Sep;34(9):831-843. doi: 10.1177\/1545968320948065. Epub 2020 Aug 10.",male,male,rat,Sprague-Dawley,Sprague-Dawley,,144,"Tang Y, Dong X, Chen G, Ye W, Kang J, Tang Y, Feng Z. Vagus Nerve Stimulation Attenuates Early Traumatic Brain Injury by Regulating the NF-κB\/NLRP3 Signaling PathwayNeurorehabil Neural Repair. 2020 Sep;34(9):831-843. doi: 10.1177\/1545968320948065. Epub 2020 Aug 10.","Tang Y, Dong X, Chen G, Ye W, Kang J, Tang Y, Feng Z. Vagus Nerve Stimulation Attenuates Early Traumatic Brain Injury by Regulating the NF-κB\/NLRP3 Signaling PathwayNeurorehabil Neural Repair. 2020 Sep;34(9):831-843. doi: 10.1177\/1545968320948065. Epub 2020 Aug 10.",male,male,weight-drop device,Weight-drop model
,300 - 350 g,https://doi.org/110.5603 / FM.a2018.0029,PMID:29569703,"Özevren H, Deveci E, Tuncer MC. Histopathological changes in the choroid plexus after traumatic brain injury in the rats: a histologic and immunohistochemical studyFolia Morphol (Warsz). 2018;77(4):642-648. doi: 10.5603\/FM.a2018.0029. Epub 2018 Mar 23.","Özevren H, Deveci E, Tuncer MC. Histopathological changes in the choroid plexus after traumatic brain injury in the rats: a histologic and immunohistochemical studyFolia Morphol (Warsz). 2018;77(4):642-648. doi: 10.5603\/FM.a2018.0029. Epub 2018 Mar 23.",male,male,rat,Sprague-Dawley,Sprague-Dawley,,145,"Özevren H, Deveci E, Tuncer MC. Histopathological changes in the choroid plexus after traumatic brain injury in the rats: a histologic and immunohistochemical studyFolia Morphol (Warsz). 2018;77(4):642-648. doi: 10.5603\/FM.a2018.0029. Epub 2018 Mar 23.","Özevren H, Deveci E, Tuncer MC. Histopathological changes in the choroid plexus after traumatic brain injury in the rats: a histologic and immunohistochemical studyFolia Morphol (Warsz). 2018;77(4):642-648. doi: 10.5603\/FM.a2018.0029. Epub 2018 Mar 23.",male,male,weight-drop device,Weight-drop model
Adult,240 - 360 g,https://doi.org/10.1007/s10439-011-0386-2,PMID:22012080,"Viano DC, Hamberger A, Bolouri H, Säljö A. Evaluation of three animal models for concussion and serious brain injuryAnn Biomed Eng. 2012 Jan;40(1):213-26. doi: 10.1007\/s10439-011-0386-2. Epub 2011 Oct 20.","Viano DC, Hamberger A, Bolouri H, Säljö A. Evaluation of three animal models for concussion and serious brain injuryAnn Biomed Eng. 2012 Jan;40(1):213-26. doi: 10.1007\/s10439-011-0386-2. Epub 2011 Oct 20.",male,male,rat,Wistar,Wistar,,151,"Viano DC, Hamberger A, Bolouri H, Säljö A. Evaluation of three animal models for concussion and serious brain injuryAnn Biomed Eng. 2012 Jan;40(1):213-26. doi: 10.1007\/s10439-011-0386-2. Epub 2011 Oct 20.","Viano DC, Hamberger A, Bolouri H, Säljö A. Evaluation of three animal models for concussion and serious brain injuryAnn Biomed Eng. 2012 Jan;40(1):213-26. doi: 10.1007\/s10439-011-0386-2. Epub 2011 Oct 20.",male,male,"marmarou weight drop, pneumatic side closed skull impact",Weight-drop model
,200 - 250 g,https://doi.org/10.1007/s10517-021-05130-6,PMID:33788107,"Plekhova NG, Radkov IV, Zinoviev SV, Dyuizen IV, Baryshev AN, Shumatov VB. Effect of Mild Traumatic Brain Injury on Behavioral Reactions and Neocortical Morphology in RatsBull Exp Biol Med. 2021 Mar;170(5):672-676. doi: 10.1007\/s10517-021-05130-6. Epub 2021 Mar 31.","Plekhova NG, Radkov IV, Zinoviev SV, Dyuizen IV, Baryshev AN, Shumatov VB. Effect of Mild Traumatic Brain Injury on Behavioral Reactions and Neocortical Morphology in RatsBull Exp Biol Med. 2021 Mar;170(5):672-676. doi: 10.1007\/s10517-021-05130-6. Epub 2021 Mar 31.",male,male,rat,Wistar,Wistar,,152,"Plekhova NG, Radkov IV, Zinoviev SV, Dyuizen IV, Baryshev AN, Shumatov VB. Effect of Mild Traumatic Brain Injury on Behavioral Reactions and Neocortical Morphology in RatsBull Exp Biol Med. 2021 Mar;170(5):672-676. doi: 10.1007\/s10517-021-05130-6. Epub 2021 Mar 31.","Plekhova NG, Radkov IV, Zinoviev SV, Dyuizen IV, Baryshev AN, Shumatov VB. Effect of Mild Traumatic Brain Injury on Behavioral Reactions and Neocortical Morphology in RatsBull Exp Biol Med. 2021 Mar;170(5):672-676. doi: 10.1007\/s10517-021-05130-6. Epub 2021 Mar 31.",male,male,weight-drop device,Weight-drop model
Adult,230 - 250 g,https://doi.org/10.1007/s10571-015-0295-2,PMID:26886755,"Li D, Ma S, Guo D, Cheng T, Li H, Tian Y, Li J, Guan F, Yang B, Wang J. Environmental Circadian Disruption Worsens Neurologic Impairment and Inhibits Hippocampal Neurogenesis in Adult Rats After Traumatic Brain InjuryCell Mol Neurobiol. 2016 Oct;36(7):1045-55. doi: 10.1007\/s10571-015-0295-2. Epub 2016 Feb 17. PMC4967018","Li D, Ma S, Guo D, Cheng T, Li H, Tian Y, Li J, Guan F, Yang B, Wang J. Environmental Circadian Disruption Worsens Neurologic Impairment and Inhibits Hippocampal Neurogenesis in Adult Rats After Traumatic Brain InjuryCell Mol Neurobiol. 2016 Oct;36(7):1045-55. doi: 10.1007\/s10571-015-0295-2. Epub 2016 Feb 17. PMC4967018",male,male,rat,Sprague-Dawley,Sprague-Dawley,,153,"Li D, Ma S, Guo D, Cheng T, Li H, Tian Y, Li J, Guan F, Yang B, Wang J. Environmental Circadian Disruption Worsens Neurologic Impairment and Inhibits Hippocampal Neurogenesis in Adult Rats After Traumatic Brain InjuryCell Mol Neurobiol. 2016 Oct;36(7):1045-55. doi: 10.1007\/s10571-015-0295-2. Epub 2016 Feb 17. PMC4967018","Li D, Ma S, Guo D, Cheng T, Li H, Tian Y, Li J, Guan F, Yang B, Wang J. Environmental Circadian Disruption Worsens Neurologic Impairment and Inhibits Hippocampal Neurogenesis in Adult Rats After Traumatic Brain InjuryCell Mol Neurobiol. 2016 Oct;36(7):1045-55. doi: 10.1007\/s10571-015-0295-2. Epub 2016 Feb 17. PMC4967018",male,male,modified weight-drop device,Weight-drop model
